"01-16-2025","Open PO Report by Vendor, Salesman, Date Created","From:12-18-2024 To 01-16-2025 (mm-dd-yyyy)","all","","","","","","",""
"","","","","","","","","","",""
"Vendor","Location","PO#","Status","Date Created","So#","AC#","Job Name","Sales Person","CP#","Open total"
"","Myrtle Beach","P134-1201132","Approved","12/18/2024","S134-272656","Lennar - Myrtle Beach","318 Hidden Pines","","christine.podlesny","3,112.55"
"","Myrtle Beach","P134-1201067","Approved","12/18/2024","S134-272583","Lennar - Myrtle Beach","316 Hidden Pines","","christine.podlesny","4,084.38"
"","Myrtle Beach","P134-1201064","Approved","12/18/2024","S134-272573","Lennar - Myrtle Beach","317 Hidden Pines","","maria.perdomo","4,041.15"
"","Myrtle Beach","P134-1200994","Approved","12/18/2024","S134-272470","Lennar - Myrtle Beach","315 Hidden Pines","","maria.perdomo","4,721.85"
"","Myrtle Beach","P134-1200978","Approved","12/18/2024","","Lennar - Myrtle Beach","","","maria.perdomo","3,916.43"
"","Charleston","P129-1207119","Approved","01/16/2025","S129-282590","Lennar - Charleston","462 Cypress Preserve Arbor","","megan.wilson1","206.94"
"","Charleston","P129-1207028","Approved","01/16/2025","S129-282418","","462 Cypress Preserve Arbor","","megan.wilson1","1,441.21"
"","Charleston","P129-1206705","Approved","01/15/2025","S129-281868","Lennar - Charleston","35 Patriot Park","","megan.wilson1","9.84"
"","Charleston","P129-1206174","Approved","01/14/2025","S129-281174","Lennar - Charleston","438 Cypress Preserve Arbor","","megan.wilson1","96.00"
"","Charleston","P129-1206010","Approved","01/13/2025","S129-280889","Lennar - Charleston","439 Cypress Preserve Arbor","","megan.wilson1","192.00"
"","Charleston","P129-1205668","Approved","01/13/2025","S129-280517","Lennar - Charleston","440 Cypress Preserve","","megan.wilson1","375.00"
"","Charleston","P129-1205645","Approved","01/13/2025","S129-280419","Lennar - Charleston","394 Cypress Preserve","","britney.pierson.Char","7,347.24"
"","Charleston","P129-1205532","Approved","01/13/2025","S129-280175","Lennar - Charleston","456 Cypress Preserve","","britney.pierson.Char","7,350.24"
"","Charleston","P129-1205447","Approved","01/10/2025","S129-280063","Lennar - Charleston","27 Patriot Park","","megan.wilson1","2,754.35"
"","Charleston","P129-1205442","Approved","01/10/2025","S129-280025","Lennar - Charleston","26 Patriot Park","","megan.wilson1","1,946.59"
"","Charleston","P129-1205437","Approved","01/10/2025","S129-279955","Lennar - Charleston","454 Cypress Preserve","","britney.pierson.Char","5,467.14"
"","Charleston","P129-1205380","Approved","01/10/2025","S129-279864","Lennar - Charleston","409 Cypress Preserve","","britney.pierson.Char","5,980.03"
"","Charleston","P129-1205294","Approved","01/10/2025","S129-279699","Lennar - Charleston","392 Cypress Preserve","","britney.pierson.Char","3,884.37"
"","Charleston","P129-1205253","Approved","01/09/2025","S129-279624","Lennar - Charleston","25 Patriot Park","","megan.wilson1","2,104.06"
"","Charleston","P129-1205226","Approved","01/09/2025","S129-279600","Lennar - Charleston","24 Patriot Park","","megan.wilson1","1,946.59"
"","Charleston","P129-1205218","Approved","01/09/2025","S129-279536","Lennar - Charleston","391 Cypress Preserve","","britney.pierson.Char","3,845.16"
"","Charleston","P129-1205215","Approved","01/09/2025","S129-279548","Lennar - Charleston","23 Patriot Park","","megan.wilson1","2,105.57"
"","Charleston","P129-1205190","Approved","01/09/2025","S129-279481","Lennar - Charleston","22 Patriot Park","","megan.wilson1","2,730.95"
"","Charleston","P129-1205181","Approved","01/09/2025","S129-279464","Lennar - Charleston","390 Cypress Preserve","","britney.pierson.Char","3,416.32"
"","Charleston","P129-1205159","Approved","01/09/2025","S129-279431","Lennar - Charleston","389 Cypress Preserve","","britney.pierson.Char","4,207.51"
"","Charleston","P129-1205143","Approved","01/09/2025","S129-279384","Lennar - Charleston","388 Cypress Preserve","","britney.pierson.Char","4,224.74"
"","Charleston","P129-1205098","Approved","01/09/2025","S129-279284","Lennar - Charleston","387 Cypress Preserve","","britney.pierson.Char","3,127.06"
"","Charleston","P129-1205039","Approved","01/08/2025","S129-279234","Lennar - Charleston","401 Cypress Preserve","","britney.pierson.Char","4,980.69"
"","Charleston","P129-1204278","Approved","01/06/2025","S129-278122","Lennar - Charleston","403 Cypress Preserve","","britney.pierson.Char","9,412.51"
"","Charleston","P129-1204268","Approved","01/06/2025","S129-278073","Lennar - Charleston","399 Cypress Preserve","","britney.pierson.Char","7,362.83"
"","Charleston","P129-1204246","Approved","01/06/2025","S129-277969","Lennar - Charleston","405 Cypress Preserve","","britney.pierson.Char","8,515.14"
"","Charleston","P129-1204177","Approved","01/06/2025","S129-277868","Lennar - Charleston","393 Cypress Preserve","","britney.pierson.Char","6,555.70"
"","Charleston","P129-1203725","Approved","01/03/2025","S129-277389","Lennar - Charleston","457 Cypress Preserve","","britney.pierson.Char","6,555.70"
