"05-01-2025","Sales Comparison by Master Account","","Raleigh,Charleston,Charlotte,Wilmington,Greensboro,Myrtle Beach,Columbia,Greenville,Savannah,Atlanta,Richmond","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"Customer Name","Account #","NET MTD Sales","NET MTD Labor","NET GP%","NET MTDLY","NET MTDLY Labor","NET GP%","Comparison MTD-to-LYMTD","NET YTD","NET YTD Labor","NET GP%","NET LYTD","NET LYTD Labor","NET GP%","NET Comparison YTD-to-LYTD"
"Granville Homes - Greensboro","A1837","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","32976.00","0.00","16.41","-32976"
"Gray Wolf Homes - Raleigh","5000209","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","135.78","0.00","54.03","-135.78"
"Great Southern Homes - Columbia","A1700","0.00","0.00","0","-225.00","0.00","77.78","225","249211.03","0.00","26.98","859420.64","0.00","11.24","-610209.61"
"Great Southern Homes - Greenville","A1730","0.00","0.00","0","212.00","0.00","45.22","-212","337818.11","0.00","18.11","576660.78","0.00","18.96","-238842.67"
"Great Southern Homes - Myrtle Beach","A1737","0.00","0.00","0","10289.00","0.00","32.57","-10289","298720.87","0.00","25.75","141890.26","0.00","31.52","156830.61"
"Great Southern Homes - Raleigh","A1944","0.00","0.00","0","0.00","0.00","0","0","45589.00","0.00","-1.84","62724.00","0.00","24.48","-17135"
"HMT Construction LLC - Raleigh","70","0.00","0.00","0","0.00","0.00","0","0","24024.99","0.00","14.63","37728.95","0.00","21.6","-13703.96"
"Hallmark Building - Wilmington","A2155","0.00","0.00","0","0.00","0.00","0","0","273575.00","0.00","72.09","0.00","0.00","0","273575"
"Harbor Contracting - Charleston","A1754","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","8720.00","0.00","-515.27","-8720"
"Harold K. Jordan - Myrtle Beach","A2097","0.00","0.00","0","0.00","0.00","0","0","15674.67","0.00","-76.18","0.00","0.00","0","15674.67"
"Harold K. Jordan - Raleigh","1117","0.00","0.00","0","0.00","0.00","0","0","-2.00","0.00","513211.96","355015.12","0.00","-19.81","-355017.12"
"Herring Homes - Raleigh","A1686","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","75422.73","0.00","16.38","-75422.73"
"Hoeken Design Build - Raleigh","A1625","0.00","0.00","0","-125.00","0.00","100","125","49876.99","0.00","20.73","72033.06","0.00","26.57","-22156.07"
"Holliday Homes - Charlotte","A1974","0.00","0.00","0","0.00","0.00","0","0","94127.30","0.00","19.77","43741.00","0.00","15.57","50386.3"
"Hopper Communities - Charlotte","A1537","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","63980.13","0.00","14.83","-63980.13"
"Hudson Brothers - Wilmington","A2110","0.00","0.00","0","0.00","0.00","0","0","180316.85","0.00","-2.98","0.00","0.00","0","180316.85"
"Hunter Quinn- Greenville","A1929","0.00","0.00","0","400.00","0.00","25","-400","332251.43","0.00","8.39","157098.99","0.00","13.36","175152.44"
"ICON Custom Builders - Greensboro","A2111","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","0.00","0.00","0","0"
"Isenhour Homes - Greensboro","A1973","0.00","0.00","0","0.00","0.00","0","0","21759.02","0.00","-19.3","18788.96","0.00","17.75","2970.06"
"J&N Developers - Raleigh","10","0.00","0.00","0","0.00","0.00","0","0","230.00","0.00","-106.64","14685.03","0.00","16.6","-14455.03"
"JSJ Builders Inc. - Raleigh","A1598","0.00","0.00","0","0.00","0.00","0","0","166421.74","0.00","19.32","268887.36","0.00","25.91","-102465.62"
"K. Hovnanian - Charleston","A1644","0.00","0.00","0","0.00","0.00","0","0","111918.63","0.00","-1.96","58393.48","0.00","-231.8","53525.15"
"KB Home - Charlotte","A1995","0.00","0.00","0","0.00","0.00","0","0","26268.99","0.00","6.45","76170.86","0.00","14.14","-49901.87"
"KB Home - Raleigh","34","0.00","0.00","0","0.00","0.00","0","0","770093.05","0.00","25.38","1567857.18","0.00","14.73","-797764.13"
"KMK INC- Myrtle Beach","A1935","0.00","0.00","0","0.00","0.00","0","0","4826.00","0.00","34.25","0.00","0.00","0","4826"
"Kristopher Homes, LLC - Greenville","A1858","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","300.00","0.00","-147.48","-300"
"LaFaye Construction - Columbia","A1872","0.00","0.00","0","25462.00","0.00","26.31","-25462","80201.01","0.00","27.09","146287.97","0.00","28.91","-66086.96"
"Lanier Van Sickle Construction - Charlotte","A1884","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","157149.01","0.00","16.21","-157149.01"
"Lennar - Charleston","A1546","0.00","0.00","0","275.00","0.00","-81.82","-275","854590.18","0.00","12.25","572451.65","0.00","-19.57","282138.53"
"Lennar - Charlotte","A1684","0.00","0.00","0","0.00","0.00","0","0","1207868.29","0.00","12.91","946778.57","0.00","13.42","261089.72"
"Lennar - Columbia","A1865","0.00","0.00","0","17450.42","0.00","29.09","-17450.42","349225.79","0.00","15.77","304097.09","0.00","15.46","45128.7"
"Lennar - Greensboro","A1746","0.00","0.00","0","6995.00","0.00","12.06","-6995","0.00","0.00","0","319572.90","0.00","3.4","-319572.9"
"Lennar - Myrtle Beach","A1876","3413.00","0.00","21.04","58347.01","0.00","20.04","-54934.01","1401722.59","0.00","22.92","1357137.95","0.00","20.29","44584.64"
"Lennar - Raleigh","50","0.00","0.00","0","66383.22","0.00","39.71","-66383.22","1056042.69","0.00","13.28","1990035.38","0.00","17.33","-933992.69"
"Madison Simmons Homes - Charlotte","A1843","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","1296.43","0.00","87.75","-1296.43"
"Madison Simmons Homes - Greenville","A1938","0.00","0.00","0","0.00","0.00","0","0","1153.57","0.00","22.28","151414.01","0.00","35.26","-150260.44"
"Marlow Homes, INC - Charlotte","A1818","0.00","0.00","0","0.00","0.00","0","0","36385.00","0.00","27.66","21754.00","0.00","21.09","14631"
"Maynard M. Coats II - Raleigh","79","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","29040.00","0.00","16.6","-29040"
"Mckee Homes - Raleigh","A2123","0.00","0.00","0","0.00","0.00","0","0","241559.00","0.00","22.1","0.00","0.00","0","241559"
"Mckee Homes - Wilmington","A1931","0.00","0.00","0","0.00","0.00","0","0","48567.00","0.00","-112.59","54216.01","0.00","25.76","-5649.01"
"Meritage - Greensboro","A1581","0.00","0.00","0","-250.00","0.00","100","250","468376.52","0.00","15.37","280879.92","0.00","20.11","187496.6"
"Meritage - Greenville","A1848","0.00","0.00","0","0.00","0.00","0","0","665771.30","0.00","12.73","330295.59","0.00","-9.82","335475.71"
"Meritage - Myrtle Beach","A1851","0.00","0.00","0","52096.98","0.00","19.46","-52096.98","459710.11","0.00","20.42","947644.95","0.00","22.24","-487934.84"
"Meritage - Raleigh","23","0.00","0.00","0","59326.97","0.00","19.5","-59326.97","580267.02","0.00","11.84","284342.12","0.00","24.46","295924.9"
"Michaels Construction - Charlotte","A1847","0.00","0.00","0","0.00","0.00","0","0","198353.15","0.00","53.27","535970.29","0.00","25.71","-337617.14"
"Mikkel Thompson - Raleigh","A2096","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","0.00","0.00","0","0"
"Mill Creek Residential - Charlotte","A1881","0.00","0.00","0","0.00","0.00","0","0","235095.50","0.00","15.17","2900.62","0.00","-248.97","232194.88"
"Mill Creek Residential - Raleigh","A2013","0.00","0.00","0","0.00","0.00","0","0","758.00","0.00","-1014.12","0.00","0.00","0","758"
"Mitchco Inc - Greensboro","A2016","0.00","0.00","0","0.00","0.00","0","0","2850.00","0.00","-4.49","22030.00","0.00","-16.61","-19180"
"Monteith Construction - Myrtle Beach","A2086","0.00","0.00","0","0.00","0.00","0","0","-99535.31","0.00","100.83","0.00","0.00","0","-99535.31"
"Monteith Construction - Wilmington","A1791","0.00","0.00","0","0.00","0.00","0","0","231745.66","0.00","27.76","987328.08","0.00","29.03","-755582.42"
"Monterey Bay, LLC - Raleigh","A1949","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","0.00","0.00","0","0"
"Mountains To Coast Homes","A1996","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","22026.00","0.00","19.43","-22026"
"Mungo Homes - Charlotte","A2089","0.00","0.00","0","0.00","0.00","0","0","40204.53","0.00","15.96","0.00","0.00","0","40204.53"
"Mungo Homes - Columbia","A1623","0.00","0.00","0","0.00","0.00","0","0","961015.39","0.00","22.13","274824.94","0.00","37.31","686190.45"
"Mungo Homes - Greensboro","A1719","0.00","0.00","0","0.00","0.00","0","0","108841.03","0.00","25.69","270270.73","0.00","7.87","-161429.7"
"Mungo Homes - Greenville","A1909","0.00","0.00","0","0.00","0.00","0","0","17644.42","0.00","47.6","30546.12","0.00","8.12","-12901.7"
"Mungo Homes - Myrtle Beach","A1852","0.00","0.00","0","10421.10","0.00","65.07","-10421.1","163544.20","0.00","16.3","104931.00","0.00","21.55","58613.2"
"Mungo Homes - Raleigh","A1547","0.00","0.00","0","-440.00","0.00","100","440","251204.13","0.00","9.35","-1615.00","0.00","259.41","252819.13"
"Mungo Homes - Wilmington","A1707","0.00","0.00","0","0.00","0.00","0","0","928692.36","0.00","21.94","0.00","0.00","0","928692.36"
"NRP Group - Charlotte","A1983","0.00","0.00","0","0.00","0.00","0","0","1399751.39","0.00","16.22","0.00","0.00","0","1399751.39"
"National Home Builders, LLC - Columbia","A2045","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","0.00","0.00","0","0"
"Nest Aspire- Wilmington","A1869","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","72309.98","0.00","22.52","-72309.98"
"Neuse Landing Homes LLC - Raleigh","76","0.00","0.00","0","0.00","0.00","0","0","18264.00","0.00","-10.9","48422.00","0.00","18.99","-30158"
"New Home Inc. LLC - Raleigh","A1784","0.00","0.00","0","350.00","0.00","0","-350","613737.32","0.00","20.63","367315.52","0.00","14","246421.8"
"New Leaf Builders - Charleston","A2022","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","0.00","0.00","0","0"
"New Leaf Builders - Wilmington","A1991","0.00","0.00","0","0.00","0.00","0","0","20096.00","0.00","22.76","0.00","0.00","0","20096"
"New South Construction - Raleigh","A1687","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","894792.95","0.00","-1.44","-894792.95"
"North Ridge Homes, Inc","A2104","0.00","0.00","0","0.00","0.00","0","0","10377.98","0.00","19.6","0.00","0.00","0","10377.98"
"Northwood Ravin - Charlotte","A2003","0.00","0.00","0","0.00","0.00","0","0","735471.58","0.00","41.12","450976.96","0.00","29.55","284494.62"
"O'Connor Homes, INC - Charleston","A1896","0.00","0.00","0","0.00","0.00","0","0","14879.00","0.00","29.54","0.00","0.00","0","14879"
"Oak & Willow Builders, LLC - Charlotte","A2145","0.00","0.00","0","0.00","0.00","0","0","33599.97","0.00","33.29","0.00","0.00","0","33599.97"
"Path Construction - Greensboro","A1939","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","0.00","0.00","0","0"
