"04-04-2025","Sales Comparison by Master Account","","Raleigh,Charleston,Charlotte,Wilmington,Greensboro,Myrtle Beach,Columbia,Greenville,Savannah,Atlanta,Richmond","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"Customer Name","Account #","NET MTD Sales","NET MTD Labor","NET GP%","NET MTDLY","NET MTDLY Labor","NET GP%","Comparison MTD-to-LYMTD","NET YTD","NET YTD Labor","NET GP%","NET LYTD","NET LYTD Labor","NET GP%","NET Comparison YTD-to-LYTD"
"Kristopher Homes, LLC - Greenville","A1858","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","300.00","0.00","-147.48","-300"
"LaFaye Construction - Columbia","A1872","0.00","0.00","0","46811.99","0.00","21.3","-46811.99","42083.00","0.00","27.97","70746.99","0.00","27.13","-28663.99"
"Lanier Van Sickle Construction - Charlotte","A1884","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","103043.29","0.00","18.31","-103043.29"
"Lennar - Charleston","A1546","0.00","0.00","0","425.00","0.00","-14699.86","-425","670334.15","0.00","11.55","375610.03","0.00","-53","294724.12"
"Lennar - Charlotte","A1684","49172.36","0.00","8.08","19017.29","0.00","2.51","30155.07","901554.83","0.00","12.88","772997.26","0.00","13.49","128557.57"
"Lennar - Columbia","A1865","675.00","0.00","5.63","12606.71","0.00","8.49","-11931.71","306696.24","0.00","15.29","221726.79","0.00","21.04","84969.45"
"Lennar - Greensboro","A1746","0.00","0.00","0","17792.00","0.00","-8.61","-17792","0.00","0.00","0","233869.90","0.00","9.46","-233869.9"
"Lennar - Myrtle Beach","A1876","43034.10","0.00","16.87","82983.78","0.00","14.55","-39949.68","1068281.22","0.00","23.59","981417.38","0.00","19.05","86863.84"
"Lennar - Raleigh","50","77259.23","0.00","24.06","81086.48","0.00","22.06","-3827.25","632987.44","0.00","10.06","1644407.08","0.00","13.37","-1011419.64"
"Madison Simmons Homes - Charlotte","A1843","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","833.79","0.00","92.37","-833.79"
"Madison Simmons Homes - Greenville","A1938","0.00","0.00","0","0.00","0.00","0","0","1153.57","0.00","22.28","114464.01","0.00","33.87","-113310.44"
"Marlow Homes, INC - Charlotte","A1818","0.00","0.00","0","0.00","0.00","0","0","36385.00","0.00","31.94","21754.00","0.00","21.09","14631"
"Maynard M. Coats II - Raleigh","79","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","13858.00","0.00","9.18","-13858"
"Mckee Homes - Raleigh","A2123","0.00","0.00","0","0.00","0.00","0","0","126013.01","0.00","18.02","0.00","0.00","0","126013.01"
"Mckee Homes - Wilmington","A1931","0.00","0.00","0","0.00","0.00","0","0","39945.00","0.00","-136.06","54216.01","0.00","24.99","-14271.01"
"Meritage - Greensboro","A1581","550.00","0.00","94.55","0.00","0.00","0","550","288174.31","0.00","10.78","282550.92","0.00","21.49","5623.39"
"Meritage - Greenville","A1848","0.00","0.00","0","-1990.00","0.00","100","1990","513031.32","0.00","14.46","315664.60","0.00","-5.92","197366.72"
"Meritage - Myrtle Beach","A1851","22865.99","0.00","21.99","56075.00","0.00","20.93","-33209.01","371795.07","0.00","21.37","727204.96","0.00","22.38","-355409.89"
"Meritage - Raleigh","23","0.00","0.00","0","10457.00","0.00","34.26","-10457","285389.01","0.00","19.42","72400.14","0.00","19.81","212988.87"
"Michaels Construction - Charlotte","A1847","0.00","0.00","0","0.00","0.00","0","0","198353.15","0.00","51.38","417811.10","0.00","19.61","-219457.95"
"Mikkel Thompson - Raleigh","A2096","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","0.00","0.00","0","0"
"Mill Creek Residential - Charlotte","A1881","0.00","0.00","0","0.00","0.00","0","0","235095.50","0.00","15.17","2900.62","0.00","-248.97","232194.88"
"Mill Creek Residential - Raleigh","A2013","0.00","0.00","0","0.00","0.00","0","0","758.00","0.00","-790.34","0.00","0.00","0","758"
"Mitchco Inc - Greensboro","A2016","2850.00","0.00","0.7","0.00","0.00","0","2850","2850.00","0.00","-4.49","22030.00","0.00","3.98","-19180"
"Monteith Construction - Myrtle Beach","A2086","0.00","0.00","0","0.00","0.00","0","0","-99535.31","0.00","100.83","0.00","0.00","0","-99535.31"
"Monteith Construction - Wilmington","A1791","5534.08","0.00","89.1","0.00","0.00","0","5534.08","228295.36","0.00","28.77","922498.65","0.00","30.99","-694203.29"
"Monterey Bay, LLC - Raleigh","A1949","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","0.00","0.00","0","0"
"Mountains To Coast Homes","A1996","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","22026.00","0.00","19.43","-22026"
"Mungo Homes - Charlotte","A2089","15868.49","0.00","-0.29","0.00","0.00","0","15868.49","40204.53","0.00","13.11","0.00","0.00","0","40204.53"
"Mungo Homes - Columbia","A1623","65789.04","0.00","18.97","0.00","0.00","0","65789.04","646037.77","0.00","23.1","273839.94","0.00","38.29","372197.83"
"Mungo Homes - Greensboro","A1719","0.00","0.00","0","10124.99","0.00","-64.62","-10124.99","11122.58","0.00","0.22","265380.25","0.00","12.23","-254257.67"
"Mungo Homes - Greenville","A1909","0.00","0.00","0","0.00","0.00","0","0","236.40","0.00","59.51","14852.14","0.00","2.7","-14615.74"
"Mungo Homes - Myrtle Beach","A1852","19164.00","0.00","21.98","0.00","0.00","0","19164","77860.64","0.00","20.87","48643.59","0.00","17.32","29217.05"
"Mungo Homes - Raleigh","A1547","30907.01","0.00","10.17","0.00","0.00","0","30907.01","194719.12","0.00","9.76","-1175.00","0.00","319.1","195894.12"
"Mungo Homes - Wilmington","A1707","0.00","0.00","0","0.00","0.00","0","0","651845.62","0.00","23.84","0.00","0.00","0","651845.62"
"NRP Group - Charlotte","A1983","0.00","0.00","0","0.00","0.00","0","0","1008310.04","0.00","26.95","0.00","0.00","0","1008310.04"
"National Home Builders, LLC - Columbia","A2045","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","0.00","0.00","0","0"
"Nest Aspire- Wilmington","A1869","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","58264.00","0.00","19.65","-58264"
"Neuse Landing Homes LLC - Raleigh","76","0.00","0.00","0","0.00","0.00","0","0","462.00","0.00","-1420.41","42442.00","0.00","19.44","-41980"
"New Home Inc. LLC - Raleigh","A1784","-1252.00","0.00","24.11","13447.00","0.00","2.41","-14699","506217.02","0.00","22.18","361973.65","0.00","18.42","144243.37"
"New Leaf Builders - Charleston","A2022","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","0.00","0.00","0","0"
"New South Construction - Raleigh","A1687","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","726941.65","0.00","-1.7","-726941.65"
"North Ridge Homes, Inc","A2104","0.00","0.00","0","0.00","0.00","0","0","10377.98","0.00","20.71","0.00","0.00","0","10377.98"
"Northwood Ravin - Charlotte","A2003","0.00","0.00","0","0.00","0.00","0","0","735471.58","0.00","41.12","303845.45","0.00","36.02","431626.13"
"O'Connor Homes, INC - Charleston","A1896","0.00","0.00","0","0.00","0.00","0","0","14879.00","0.00","29.54","0.00","0.00","0","14879"
"Oak & Willow Builders, LLC - Charlotte","A2145","0.00","0.00","0","0.00","0.00","0","0","16799.98","0.00","30.4","0.00","0.00","0","16799.98"
"Path Construction - Greensboro","A1939","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","0.00","0.00","0","0"
"Piedmont Signature Homes - Greensboro","A1972","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","0.00","0.00","0","0"
"Pierre Morin-Raleigh","A2153","0.00","0.00","0","0.00","0.00","0","0","29686.00","0.00","30.29","0.00","0.00","0","29686"
"Planishek Properties-Charlotte","A2017","0.00","0.00","0","0.00","0.00","0","0","2711.46","0.00","27.75","30008.50","0.00","24.22","-27297.04"
"Porter Built Homes LLC - Raleigh","A1976","0.00","0.00","0","0.00","0.00","0","0","23578.00","0.00","16.91","0.00","0.00","0","23578"
"Pulte Home Company, LLC  - Charlotte","A1739","48894.59","0.00","23.42","0.00","0.00","0","48894.59","539655.56","0.00","21.02","333406.15","0.00","17.98","206249.41"
"Pulte Home Company, LLC  - Greensboro","A1738","0.00","0.00","0","-5087.00","0.00","261.59","5087","1825.00","0.00","97.8","248642.21","0.00","10.32","-246817.21"
"Pulte Home Company, LLC  - Greenville","A1781","0.00","0.00","0","0.00","0.00","0","0","154134.73","0.00","20.33","8493.00","0.00","-2.45","145641.73"
"Pulte Home Company, LLC  - Myrtle Beach","A1930","1409.98","0.00","101.05","22671.98","0.00","13.79","-21262","258220.76","0.00","14.25","44420.95","0.00","16.75","213799.81"
"Pulte Home Company, LLC  - Raleigh","A1607","0.00","0.00","0","81232.01","0.00","15.62","-81232.01","507444.27","0.00","16.89","803349.88","0.00","5.72","-295905.61"
