"03-27-2025","Open PO Report by Vendor, Salesman, Date Created","From:01-27-2025 To 03-27-2025 (mm-dd-yyyy)","all","","","","","","",""
"","","","","","","","","","",""
"Vendor","Location","PO#","Status","Date Created","So#","AC#","Job Name","Sales Person","CP#","Open total"
"","Raleigh","P120-1221727","Approved","03/14/2025","S120-307144","Cumberland Homes (TMD Res.) - Raleigh","14 Tracy Grove","","marcie.godfrey","4,188.85"
"","Raleigh","P120-1221667","Approved","03/14/2025","S120-307253","RiverWild Homes - Raleigh","47 Marin Woods TH","","patricia.johnson","1,471.33"
"","Raleigh","P120-1221650","Approved","03/13/2025","S120-307348","Mungo Homes - Raleigh","16 Maison Ridge","","faith.hudson","262.65"
"","Raleigh","P120-1221629","Approved","03/13/2025","S120-307313","New Home Inc. LLC - Raleigh","52 Duncans Creek","","ryka.heath","5,830.96"
"","Raleigh","P120-1221619","Approved","03/13/2025","S120-307306","TRI Pointe Homes - Raleigh","9 Twinleaf Townes TH","","kristina.raynor.ral","105.70"
"","Raleigh","P120-1221616","Approved","03/13/2025","S120-307301","TRI Pointe Homes - Raleigh","8 Twinleaf Townes TH","","kristina.raynor.ral","105.70"
"","Raleigh","P120-1221611","Approved","03/13/2025","S120-307296","TRI Pointe Homes - Raleigh","7 Twinleaf Townes TH","","kristina.raynor.ral","105.70"
"","Raleigh","P120-1221567","Approved","03/13/2025","S120-307198","Lennar - Raleigh","866 Edge of Auburn","","britney.pierson","1,891.62"
"","Raleigh","P120-1221560","Approved","03/13/2025","S120-307174","Scott Lee Homes, Inc - Raleigh","69 Kamdon Ranch","","linda.clifton","4,846.55"
"","Raleigh","P120-1221542","Approved","03/13/2025","S120-307157","Lennar - Raleigh","883 Edge of Auburn - Summit","","britney.pierson","1,424.69"
"","Raleigh","P120-1221512","Approved","03/13/2025","S120-307050","Lennar - Raleigh","9 Caitlin Crossing","","britney.pierson","995.58"
"","Raleigh","P120-1221487","Approved","03/13/2025","S120-307045","RiverWild Homes - Raleigh","46 Marin Woods TH","","patricia.johnson","1,506.33"
"","Raleigh","P120-1221478","Approved","03/13/2025","S120-306991","Scott Lee Homes, Inc - Raleigh","67 Kamdon Ranch","","linda.clifton","6,292.18"
"","Raleigh","P120-1221470","Approved","03/13/2025","S120-306974","Mungo Homes - Raleigh","11 Olivet","","ashley.weaver","229.45"
"","Raleigh","P120-1221452","Approved","03/13/2025","S120-306937","New Home Inc. LLC - Raleigh","38 Duncans Creek","","ryka.heath","4,888.47"
"","Raleigh","P120-1221437","Approved","03/13/2025","S120-306800","Toll Brothers - Raleigh","162 Auburn Station- Excursion","","patricia.johnson","9,868.22"
"","Raleigh","P120-1221382","Approved","03/13/2025","S120-306805","Adams Homes - North Raleigh Division","29 Harvest Creek","","ryka.heath","3,808.47"
"","Raleigh","P120-1221372","Approved","03/13/2025","S120-306792","Chesapeake Homes - Raleigh","21 Highgate","","kristina.raynor.ral","257.73"
"","Raleigh","P120-1221370","Approved","03/13/2025","S120-306786","Chesapeake Homes - Raleigh","18 Highgate","","kristina.raynor.ral","257.73"
"","Raleigh","P120-1221330","Approved","03/12/2025","S120-306621","Stanley Martin Homes - Raleigh","44 Williams Grove","","faith.hudson","7,850.22"
